title,storyline,description,directors,writers,cast,tagline,genres
City Slickers II: The Legend of Curly&apos;s Gold,"One year after their first adventure, Mitch Robbins and his friends discover a treasure map that belonged to their late trail guide Curly and they set out to discover its secrets.","One year after their first adventure, Mitch Robbins and his friends discover a treasure map that belonged to their late trail guide Curly and they set out to discover its secrets.",Paul Weiland,"Lowell Ganz, Babaloo Mandel, Billy Crystal","['Billy Crystal (Unknown Role)', 'Jack Palance (Unknown Role)', 'Daniel Stern (Unknown Role)', 'Jon Lovitz (Unknown Role)', 'Patricia Wettig (Unknown Role)']",Tagline not available,Comedy|Western
The Cowboy Way,"Two childhood friends who are rodeo cowboys travel from New Mexico to New York City searching for a friend who disappeared while looking for his daughter, who's just been smuggled into the US from Cuba.","Two childhood friends who are rodeo cowboys travel from New Mexico to New York City searching for a friend who disappeared while looking for his daughter, who's just been smuggled into the US from Cuba.",Gregg Champion,"Robert C. Thompson, William D. Wittliff","['Woody Harrelson (Unknown Role)', 'Kiefer Sutherland (Unknown Role)', 'Dylan McDermott (Unknown Role)', 'Ernie Hudson (Unknown Role)', 'Cara Buono (Unknown Role)']",Tagline not available,Action|Comedy
Most Dangerous Game,"Desperate to take care of his pregnant wife before a terminal illness can take his life, Dodge Tynes accepts an offer to participate in a deadly game where he soon discovers that he's not the hunter - but the prey.","Desperate to take care of his pregnant wife before a terminal illness can take his life, Dodge Tynes accepts an offer to participate in a deadly game where he soon discovers that he's not the hunter - but the prey.",Director not available,"Scott Elder, Josh Harmon, Nick Santora","['Christoph Waltz (Unknown Role)', 'Aaron Poole (Unknown Role)', 'Liam Hemsworth (Unknown Role)', 'Sarah Gadon (Unknown Role)', 'Devon Bostick (Unknown Role)']",Tagline not available,Drama
The Endless Summer 2,"Two famous surfers, Patrick O' Connell and Robert &quot;Wingnut&quot; Weaver, set out for an international worldwide surfing safari adventure with documentary filmmaker Bruce Brown.","Two famous surfers, Patrick O' Connell and Robert &quot;Wingnut&quot; Weaver, set out for an international worldwide surfing safari adventure with documentary filmmaker Bruce Brown.",Bruce Brown,"Bruce Brown, Dana Brown","[""Patrick O'Connell (Unknown Role)"", ""Robert 'Wingnut' Weaver (Unknown Role)"", 'Robert August (Unknown Role)', 'T.J. Barron (Unknown Role)', 'Jeff Booth (Unknown Role)']",Tagline not available,Documentary
Ba wang bie ji,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and endure some of the most troublesome times in China's history.,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and endure some of the most troublesome times in China's history.,Kaige Chen,"Pik-Wah Lee, Wei Lu","['Leslie Cheung (Unknown Role)', 'Fengyi Zhang (Unknown Role)', 'Gong Li (Unknown Role)', 'You Ge (Unknown Role)', 'Da Ying (Unknown Role)']",Tagline not available,Drama|Romance
The Favor,"As her 15-year reunion nears, Kathy starts having sexual fantasies about her high-school sweetheart. Being married, she sends her BFF to the reunion to check out her former dreamboat and report back. Things get complicated.","As her 15-year reunion nears, Kathy starts having sexual fantasies about her high-school sweetheart. Being married, she sends her BFF to the reunion to check out her former dreamboat and report back. Things get complicated.",Donald Petrie,"Sara Parriott, Josann McGibbon","['Harley Jane Kozak (Unknown Role)', 'Elizabeth McGovern (Unknown Role)', 'Bill Pullman (Unknown Role)', 'Brad Pitt (Unknown Role)', 'Larry Miller (Unknown Role)']",Tagline not available,Comedy|Romance
Huo Yuan Jia,"A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation.","A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation.",Ronny Yu,"Chris Chow, Richard Epcar, Chi-Long To","['Jet Li (Unknown Role)', 'Li Sun (Unknown Role)', 'Yong Dong (Unknown Role)', 'Yun Qu (Unknown Role)', 'Ailing Xu (Unknown Role)']",Tagline not available,Drama
Widows&apos; Peak,"In 1934, an English widow moves to Widows' Peak, Ireland. She befriends other widows and the son of one. Hostility escalates between her and an Irish spinster.","In 1934, an English widow moves to Widows' Peak, Ireland. She befriends other widows and the son of one. Hostility escalates between her and an Irish spinster.",John Irvin,Hugh Leonard,"['Joan Plowright (Unknown Role)', 'Mia Farrow (Unknown Role)', 'Natasha Richardson (Unknown Role)', 'Adrian Dunbar (Unknown Role)', 'Jim Broadbent (Unknown Role)']",Tagline not available,Drama
The Firm,A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.,A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.,Sydney Pollack,"John Grisham, David Rabe, Robert Towne","['Tom Cruise (Unknown Role)', 'Jeanne Tripplehorn (Unknown Role)', 'Gene Hackman (Unknown Role)', 'Hal Holbrook (Unknown Role)', 'Terry Kinney (Unknown Role)']",Tagline not available,Drama|Thriller
The Fugitive,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.","Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",Andrew Davis,"Jeb Stuart, David Twohy, Roy Huggins","['Harrison Ford (Unknown Role)', 'Tommy Lee Jones (Unknown Role)', 'Sela Ward (Unknown Role)', 'Julianne Moore (Unknown Role)', 'Joe Pantoliano (Unknown Role)']",Tagline not available,Action|Thriller
Love on the Danube: Royal Getaway,"Heartbroken after being jilted at the altar Ava, a straight-talking urban art gallery manager, takes her honeymoon anyway and meets a charming European gentleman who shares her passion for art. However, trust and deception are an ...","Heartbroken after being jilted at the altar Ava, a straight-talking urban art gallery manager, takes her honeymoon anyway and meets a charming European gentleman who shares her passion for art. However, trust and deception are an ...",Norma Bailey,Aubrey Day,"['Jessica Sipos (Unknown Role)', 'Dan Jeannotte (Unknown Role)', 'Kathryn Drysdale (Unknown Role)', 'Steven Pacey (Unknown Role)', 'Mark Holden (Unknown Role)']",Tagline not available,Action
A Good Man in Africa,"In a West African nation, the womanizing British 1st Secretary of the High Commissioner deals with different issues.","In a West African nation, the womanizing British 1st Secretary of the High Commissioner deals with different issues.",Bruce Beresford,William Boyd,"['Colin Friels (Unknown Role)', 'Sean Connery (Unknown Role)', 'Joanne Whalley (Unknown Role)', 'John Lithgow (Unknown Role)', 'Diana Rigg (Unknown Role)']",Tagline not available,Action|Adventure
Heaven &amp; Earth,"During the Vietnam War, a Vietnamese woman struggles hustling on the streets, where she comes face to face with those involved in the conflict around her.","During the Vietnam War, a Vietnamese woman struggles hustling on the streets, where she comes face to face with those involved in the conflict around her.",Oliver Stone,"Le Ly Hayslip, Jay Wurts, James Hayslip","['Hiep Thi Le (Unknown Role)', 'Tommy Lee Jones (Unknown Role)', 'Haing S. Ngor (Unknown Role)', 'Bussaro Sanruck (Unknown Role)', 'Supak Pititam (Unknown Role)']",Tagline not available,Action|Drama|War
The Englishman Who Went Up a Hill But Came Down a Mountain,"When an English cartographer must tell a Welsh village that their mountain is only a hill, the offended community sets out to change that.","When an English cartographer must tell a Welsh village that their mountain is only a hill, the offended community sets out to change that.",Christopher Monger,"Ifor David Monger, Christopher Monger","['Hugh Grant (Unknown Role)', 'Tara Fitzgerald (Unknown Role)', 'Colm Meaney (Unknown Role)', 'Ian McNeice (Unknown Role)', 'Ian Hart (Unknown Role)']",Tagline not available,Comedy|Romance
The House of the Spirits,"A rancher, his clairvoyant wife, and their family face turbulent years in South America in this adaptation of Isabel Allende's best-seller.","A rancher, his clairvoyant wife, and their family face turbulent years in South America in this adaptation of Isabel Allende's best-seller.",Bille August,"Isabel Allende, Bille August","['Jeremy Irons (Unknown Role)', 'Meryl Streep (Unknown Role)', 'Maria Conchita Alonso (Unknown Role)', 'António Assunção (Unknown Role)', 'Julie Balloo (Unknown Role)']",Tagline not available,Drama|Romance
The Hudsucker Proxy,A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,"Joel Coen, Ethan Coen","Ethan Coen, Joel Coen, Sam Raimi","['Tim Robbins (Unknown Role)', 'Paul Newman (Unknown Role)', 'Jennifer Jason Leigh (Unknown Role)', 'Charles Durning (Unknown Role)', 'John Mahoney (Unknown Role)']",Tagline not available,Comedy|Romance
I&apos;ll Do Anything,"An aspiring actor's life gets upended when his ex-wife dumps their bossy, wild little daughter into his custody.","An aspiring actor's life gets upended when his ex-wife dumps their bossy, wild little daughter into his custody.",James L. Brooks,James L. Brooks,"['Nick Nolte (Unknown Role)', 'Albert Brooks (Unknown Role)', 'Whittni Wright (Unknown Role)', 'Julie Kavner (Unknown Role)', 'Joely Richardson (Unknown Role)']",Tagline not available,Comedy|Drama
The Inkwell,"A shy, troubled young man who set his own house on fire and has an imaginary friend, is sent to a vineyard where he finds himself in the middle of his political-arguing, party-loving family and his love torn between two girls.","A shy, troubled young man who set his own house on fire and has an imaginary friend, is sent to a vineyard where he finds himself in the middle of his political-arguing, party-loving family and his love torn between two girls.",Matty Rich,"Trey Ellis, Paris Qualles","['Larenz Tate (Unknown Role)', 'Joe Morton (Unknown Role)', 'Suzzanne Douglas (Unknown Role)', 'Glynn Turman (Unknown Role)', 'Vanessa Bell Calloway (Unknown Role)']",Tagline not available,Comedy|Drama
What&apos;s Love Got to Do with It,"The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from her abusive husband, Ike Turner.","The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from her abusive husband, Ike Turner.",Brian Gibson,"Tina Turner, Kurt Loder, Kate Lanier","['Angela Bassett (Unknown Role)', 'Laurence Fishburne (Unknown Role)', 'RaéVen Kelly (Unknown Role)', 'Virginia Capers (Unknown Role)', 'Dororthy Thorton (Unknown Role)']",Tagline not available,Drama
The Man Without a Face,Chuck wants to leave home but can't make the grade for boarding school. Then he finds out the disfigured recluse living nearby is an ex-teacher.,Chuck wants to leave home but can't make the grade for boarding school. Then he finds out the disfigured recluse living nearby is an ex-teacher.,Mel Gibson,"Isabelle Holland, Malcolm MacRury","['Mel Gibson (Unknown Role)', 'Nick Stahl (Unknown Role)', 'Margaret Whitton (Unknown Role)', 'Fay Masterson (Unknown Role)', 'Gaby Hoffmann (Unknown Role)']",Tagline not available,Drama
Ai no korîda,"A fictionalized retelling of the story of Sada Abe, whose affair with her master quickly turned obsessive and sadomasochistic.","A fictionalized retelling of the story of Sada Abe, whose affair with her master quickly turned obsessive and sadomasochistic.",Nagisa Ôshima,"Nagisa Ôshima, Kôji Wakamatsu","['Tatsuya Fuji (Unknown Role)', 'Eiko Matsuda (Unknown Role)', 'Aoi Nakajima (Unknown Role)', 'Yasuko Matsui (Unknown Role)', 'Meika Seri (Unknown Role)']",Tagline not available,Drama
The Next Karate Kid,Mr. Miyagi is back and he takes a new pupil under his wing: a troubled adolescent girl.,Mr. Miyagi is back and he takes a new pupil under his wing: a troubled adolescent girl.,Christopher Cain,"Robert Mark Kamen, Mark Lee","['Pat Morita (Unknown Role)', 'Hilary Swank (Unknown Role)', 'Michael Ironside (Unknown Role)', 'Constance Towers (Unknown Role)', 'Chris Conrad (Unknown Role)']",Tagline not available,Action|Children's
The Croods: A New Age,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.","The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",Joel Crawford,"Kevin Hageman, Dan Hageman, Paul Fisher","['Nicolas Cage (Unknown Role)', 'Emma Stone (Unknown Role)', 'Ryan Reynolds (Unknown Role)', 'Catherine Keener (Unknown Role)', 'Cloris Leachman (Unknown Role)']",Tagline not available,Drama
North of North,"A young Inuk woman in a tiny Arctic village strives to forge her own path, defying societal expectations and gossip in her tightknit community.","A young Inuk woman in a tiny Arctic village strives to forge her own path, defying societal expectations and gossip in her tightknit community.",Director not available,"Stacey Aglok MacDonald, Alethea Arnaquq-Baril","['Anna Lambe (Unknown Role)', 'Maika Harper (Unknown Role)', 'Braeden Clarke (Unknown Role)', 'Zorga Qaunaq (Unknown Role)', 'Bailey Poching (Unknown Role)']",Tagline not available,Comedy
A Perfect World,"A kidnapped boy strikes up a friendship with his captor, an escaped convict on the run from the law, while the search for him continues.","A kidnapped boy strikes up a friendship with his captor, an escaped convict on the run from the law, while the search for him continues.",Clint Eastwood,John Lee Hancock,"['Kevin Costner (Unknown Role)', 'Clint Eastwood (Unknown Role)', 'Laura Dern (Unknown Role)', 'T.J. Lowther (Unknown Role)', 'Keith Szarabajka (Unknown Role)']",Tagline not available,Action|Drama
It&apos;s Always Sunny in Philadelphia,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,Director not available,"Rob McElhenney, Glenn Howerton","['Charlie Day (Unknown Role)', 'Glenn Howerton (Unknown Role)', 'Rob McElhenney (Unknown Role)', 'Kaitlin Olson (Unknown Role)', 'Danny DeVito (Unknown Role)']",Tagline not available,Drama
La pianiste,A young man romantically pursues his masochistic piano teacher.,A young man romantically pursues his masochistic piano teacher.,Michael Haneke,"Michael Haneke, Elfriede Jelinek","['Isabelle Huppert (Unknown Role)', 'Annie Girardot (Unknown Role)', 'Benoît Magimel (Unknown Role)', 'Susanne Lothar (Unknown Role)', 'Udo Samel (Unknown Role)']",Tagline not available,Drama|Romance
The Program,"Several players from different backgrounds try to cope with the pressures of playing football at a major university. Each deals with the pressure differently, some turn to drinking, others to drugs, and some to studying.","Several players from different backgrounds try to cope with the pressures of playing football at a major university. Each deals with the pressure differently, some turn to drinking, others to drugs, and some to studying.",David S. Ward,"David S. Ward, Aaron Latham","['James Caan (Unknown Role)', 'Halle Berry (Unknown Role)', 'Omar Epps (Unknown Role)', 'Craig Sheffer (Unknown Role)', 'Kristy Swanson (Unknown Role)']",Tagline not available,Action|Drama
The Puppet Masters,"The Midwest USA is invaded by stingray-shaped alien slugs that ride on people's backs and control their minds in order to spread their dominion. Government agency reps Sam Givens, Andrew Nivens, and Mary Sefton must stop the aliens.","The Midwest USA is invaded by stingray-shaped alien slugs that ride on people's backs and control their minds in order to spread their dominion. Government agency reps Sam Givens, Andrew Nivens, and Mary Sefton must stop the aliens.",Stuart Orme,"Robert A. Heinlein, Ted Elliott, Terry Rossio","['Donald Sutherland (Unknown Role)', 'Eric Thal (Unknown Role)', 'Julie Warner (Unknown Role)', 'Keith David (Unknown Role)', 'Will Patton (Unknown Role)']",Tagline not available,Horror|Sci-Fi
The Ref,"A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.","A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.",Ted Demme,"Marie Weiss, Richard LaGravenese","['Denis Leary (Unknown Role)', 'Judy Davis (Unknown Role)', 'Kevin Spacey (Unknown Role)', 'Robert J. Steinmiller Jr. (Unknown Role)', 'Glynis Johns (Unknown Role)']",Tagline not available,Comedy
The Remains of the Day,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,James Ivory,"Kazuo Ishiguro, Ruth Prawer Jhabvala","['Anthony Hopkins (Unknown Role)', 'Emma Thompson (Unknown Role)', 'John Haycraft (Unknown Role)', 'Christopher Reeve (Unknown Role)', 'Caroline Hunt (Unknown Role)']",Tagline not available,Drama
The Road to Wellville,"A story about the ins and outs of one unusual health facility in the early twentieth century, run by the eccentric Dr. John Harvey Kellogg.","A story about the ins and outs of one unusual health facility in the early twentieth century, run by the eccentric Dr. John Harvey Kellogg.",Alan Parker,"T. Coraghessan Boyle, Alan Parker","['Anthony Hopkins (Unknown Role)', 'Bridget Fonda (Unknown Role)', 'Matthew Broderick (Unknown Role)', 'John Cusack (Unknown Role)', 'Dana Carvey (Unknown Role)']",Tagline not available,Comedy
RoboCop 3,Robocop saves the day once more. This time the half man/half robot takes on ruthless developers who want to evict some people on &quot;their&quot; land.,Robocop saves the day once more. This time the half man/half robot takes on ruthless developers who want to evict some people on &quot;their&quot; land.,Fred Dekker,"Edward Neumeier, Michael Miner, Frank Miller","['Robert John Burke (Unknown Role)', 'Nancy Allen (Unknown Role)', 'Mario Machado (Unknown Role)', 'Remy Ryan (Unknown Role)', 'Jodi Long (Unknown Role)']",Tagline not available,Sci-Fi|Thriller
The Saint of Fort Washington,A homeless schizophrenic seeks the help of a streetwise combat veteran as they attempt to overcome cruel life on the streets.,A homeless schizophrenic seeks the help of a streetwise combat veteran as they attempt to overcome cruel life on the streets.,Tim Hunter,Lyle Kessler,"['Danny Glover (Unknown Role)', 'Matt Dillon (Unknown Role)', 'Rick Aviles (Unknown Role)', 'Nina Siemaszko (Unknown Role)', 'Ving Rhames (Unknown Role)']",Tagline not available,Drama
Les nuits fauves,"Jean is 30 years old. He lives with Laura, 17 years old, a violent and eventful love story. He learns that he is HIV positive.","Jean is 30 years old. He lives with Laura, 17 years old, a violent and eventful love story. He learns that he is HIV positive.",Cyril Collard,"Cyril Collard, Jacques Fieschi","['Cyril Collard (Unknown Role)', 'Romane Bohringer (Unknown Role)', 'Carlos López (Unknown Role)', 'Corine Blue (Unknown Role)', 'Claude Winter (Unknown Role)']",Tagline not available,Drama
Schindler&apos;s List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"Thomas Keneally, Steven Zaillian","['Liam Neeson (Unknown Role)', 'Ralph Fiennes (Unknown Role)', 'Ben Kingsley (Unknown Role)', 'Caroline Goodall (Unknown Role)', 'Jonathan Sagall (Unknown Role)']",Tagline not available,Drama|War
The Last Boy Scout,"A private detective's protected female witness is murdered, prompting him and the victim's boyfriend to investigate the crime that leads to a corrupt politician and a crooked football team owner.","A private detective's protected female witness is murdered, prompting him and the victim's boyfriend to investigate the crime that leads to a corrupt politician and a crooked football team owner.",Tony Scott,"Shane Black, Greg Hicks","['Bruce Willis (Unknown Role)', 'Damon Wayans (Unknown Role)', 'Chelsea Field (Unknown Role)', 'Noble Willingham (Unknown Role)', 'Taylor Negron (Unknown Role)']",Tagline not available,Drama
The Second Best Hospital in the Galaxy,"Sleech and Klak, two brilliant female alien doctors who specialize in rare sci-fi illnesses.","Sleech and Klak, two brilliant female alien doctors who specialize in rare sci-fi illnesses.",Director not available,Cirocco Dunlap,"['Kieran Culkin (Unknown Role)', 'Stephanie Hsu (Unknown Role)', 'Natasha Lyonne (Unknown Role)', 'Keke Palmer (Unknown Role)', 'Maya Rudolph (Unknown Role)']",Tagline not available,Drama
The Secret Garden,"A young, recently-orphaned girl is sent to England after living in India all of her life. Once there, she begins to explore her new, seemingly-isolated surroundings, and its secrets.","A young, recently-orphaned girl is sent to England after living in India all of her life. Once there, she begins to explore her new, seemingly-isolated surroundings, and its secrets.",Agnieszka Holland,"Frances Hodgson Burnett, Caroline Thompson","['Kate Maberly (Unknown Role)', 'Maggie Smith (Unknown Role)', 'Heydon Prowse (Unknown Role)', 'Andrew Knott (Unknown Role)', 'Laura Crossley (Unknown Role)']",Tagline not available,Children's|Drama
The Shadow,"In 1930s New York City, The Shadow (Alec Baldwin) battles his nemesis, Shiwan Khan (John Lone), who is building an atomic bomb.","In 1930s New York City, The Shadow (Alec Baldwin) battles his nemesis, Shiwan Khan (John Lone), who is building an atomic bomb.",Russell Mulcahy,"Walter B. Gibson, David Koepp","['Alec Baldwin (Unknown Role)', 'John Lone (Unknown Role)', 'Penelope Ann Miller (Unknown Role)', 'Peter Boyle (Unknown Role)', 'Ian McKellen (Unknown Role)']",Tagline not available,Action
A Simple Twist of Fate,"His life was emotionally closed off from the world, until an orphaned baby showed up at his house.","His life was emotionally closed off from the world, until an orphaned baby showed up at his house.",Gillies MacKinnon,"George Eliot, Steve Martin","['Steve Martin (Unknown Role)', 'Gabriel Byrne (Unknown Role)', 'Laura Linney (Unknown Role)', ""Catherine O'Hara (Unknown Role)"", 'Alana Austin (Unknown Role)']",Tagline not available,Drama
Godfather of Harlem,"A gangster named Bumpy Johnson makes his way in Harlem during the 1960s. A TV prequel to the 2007 film, 'American Gangster', which centered on the criminal enterprise of Frank Lucas.","A gangster named Bumpy Johnson makes his way in Harlem during the 1960s. A TV prequel to the 2007 film, 'American Gangster', which centered on the criminal enterprise of Frank Lucas.",Director not available,"Chris Brancato, Paul Eckstein","['Forest Whitaker (Unknown Role)', 'Ilfenesh Hadera (Unknown Role)', 'Lucy Fry (Unknown Role)', 'Antoinette Crowe-Legacy (Unknown Role)', 'Erik LaRay Harvey (Unknown Role)']",Tagline not available,Drama
The Super Mario Bros. Movie,"Brooklyn plumbers Mario and Luigi are warped to the magical Mushroom Kingdom, and Mario must team up with Princess Peach, Toad, and Donkey Kong to save Luigi from the evil Bowser.","Brooklyn plumbers Mario and Luigi are warped to the magical Mushroom Kingdom, and Mario must team up with Princess Peach, Toad, and Donkey Kong to save Luigi from the evil Bowser.","Aaron Horvath, Michael Jelenic, Pierre Leduc",Matthew Fogel,"['Chris Pratt (Unknown Role)', 'Anya Taylor-Joy (Unknown Role)', 'Charlie Day (Unknown Role)', 'Jack Black (Unknown Role)', 'Kevin Michael Richardson (Unknown Role)']",Tagline not available,Action|Adventure|Children's|Sci-Fi
Thirty Two Short Films About Glenn Gould,"A collection of vignettes highlighting different aspects of the life, work, and character of the acclaimed Canadian classical pianist.","A collection of vignettes highlighting different aspects of the life, work, and character of the acclaimed Canadian classical pianist.",François Girard,"François Girard, Don McKellar, Glenn Gould","['Colm Feore (Unknown Role)', 'Derek Keurvorst (Unknown Role)', 'Katya Ladan (Unknown Role)', 'Devon Anderson (Unknown Role)', 'Joshua Greenblatt (Unknown Role)']",Tagline not available,Documentary
The Threesome,"A young man's perennial crush leads him into an unexpected threesome, he thinks it's his ultimate fantasy come true. When the fantasy ends, all three are left with sobering real-world consequences, to take responsibility for their...","A young man's perennial crush leads him into an unexpected threesome, he thinks it's his ultimate fantasy come true. When the fantasy ends, all three are left with sobering real-world consequences, to take responsibility for their...",Chad Hartigan,Ethan Ogilby,"['Zoey Deutch (Unknown Role)', 'Jonah Hauer-King (Unknown Role)', 'Ruby Cruz (Unknown Role)', 'Jaboukie Young-White (Unknown Role)', 'Josh Segarra (Unknown Role)']",Tagline not available,Comedy|Romance
The Nightmare Before Christmas,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick,"Tim Burton, Michael McDowell, Caroline Thompson","['Danny Elfman (Unknown Role)', 'Chris Sarandon (Unknown Role)', ""Catherine O'Hara (Unknown Role)"", 'William Hickey (Unknown Role)', 'Glenn Shadix (Unknown Role)']",Tagline not available,Children's|Comedy|Musical
The Three Musketeers,"France, 1625. Young d'Artagnan heads to Paris to join the Musketeers, but the evil cardinal has disbanded them. d'Artagnan meets Athos, Porthos, and Aramis, three rogue musketeers, and joins them on their quest to save the king an...","France, 1625. Young d'Artagnan heads to Paris to join the Musketeers, but the evil cardinal has disbanded them. d'Artagnan meets Athos, Porthos, and Aramis, three rogue musketeers, and joins them on their quest to save the king an...",Stephen Herek,"Alexandre Dumas, David Loughery","['Charlie Sheen (Unknown Role)', 'Kiefer Sutherland (Unknown Role)', ""Chris O'Donnell (Unknown Role)"", 'Oliver Platt (Unknown Role)', 'Tim Curry (Unknown Role)']",Tagline not available,Action|Adventure|Comedy
The War Room,Follows the Bill Clinton 1992 presidential campaign and the organization who ran it.,Follows the Bill Clinton 1992 presidential campaign and the organization who ran it.,"Chris Hegedus, D.A. Pennebaker",Writer not available,"['James Carville (Unknown Role)', 'George Stephanopoulos (Unknown Role)', 'Heather Beckel (Unknown Role)', 'Paul Begala (Unknown Role)', 'Bob Boorstin (Unknown Role)']",Tagline not available,Documentary
The Pagemaster,"A cowardly boy, who buries himself in accident statistics, enters a library to escape a storm, only to be transformed into an animated illustration by the Pagemaster. He has to work through obstacles from classic books to return t...","A cowardly boy, who buries himself in accident statistics, enters a library to escape a storm, only to be transformed into an animated illustration by the Pagemaster. He has to work through obstacles from classic books to return t...","Pixote Hunt, Joe Johnston","David Kirschner, David Casci, Ernie Contreras","['Macaulay Culkin (Unknown Role)', 'Christopher Lloyd (Unknown Role)', 'Kanin Howell (Unknown Role)', 'Alexis Kirschner (Unknown Role)', 'Jessica Kirschner (Unknown Role)']",Tagline not available,Action|Adventure|Animation|Children's|Fantasy
"The Beans of Egypt, Maine","Reuben is a drinker and brawler who runs afoul of the law and lands a long prison term. He leaves behind Roberta (Kelly Lynch), his wife and mother of nine. Also part of the extended family is Beal (Patrick McGaw), who becomes Rob...","Reuben is a drinker and brawler who runs afoul of the law and lands a long prison term. He leaves behind Roberta (Kelly Lynch), his wife and mother of nine. Also part of the extended family is Beal (Patrick McGaw), who becomes Rob...",Jennifer Warren,"Carolyn Chute, Bill Phillips","['Martha Plimpton (Unknown Role)', 'Kelly Lynch (Unknown Role)', 'Rutger Hauer (Unknown Role)', 'Patrick McGaw (Unknown Role)', 'Richard Sanders (Unknown Role)']",Tagline not available,Drama
Killer,"A slick New York assassin accepts an unusual hit: a woman who not only is expecting him, but who is more than willing to be murdered.","A slick New York assassin accepts an unusual hit: a woman who not only is expecting him, but who is more than willing to be murdered.",Mark Malone,"Gordon Melbourne, Mark Malone","['Anthony LaPaglia (Unknown Role)', 'Mimi Rogers (Unknown Role)', 'Matt Craven (Unknown Role)', 'Peter Boyle (Unknown Role)', 'Monika Schnarre (Unknown Role)']",Tagline not available,Thriller
JL Family Ranch: The Wedding Gift,When Henry proposes it looks like Rebecca will get her fairytale ending until her daughter invites a visitor from her past to the ranch that will change the Petersons and Landsburgs forever.,When Henry proposes it looks like Rebecca will get her fairytale ending until her daughter invites a visitor from her past to the ranch that will change the Petersons and Landsburgs forever.,Sean McNamara,"Steven Paul, Mark Hefti, Harley Peyton","['Jon Voight (Unknown Role)', 'James Caan (Unknown Role)', 'Teri Polo (Unknown Role)', 'Bo Derek (Unknown Role)', 'Dylan Walsh (Unknown Role)']",Tagline not available,Drama
Io speriamo che me la cavo,A teacher must deal with the underworld of Naples and his students' family problems.,A teacher must deal with the underworld of Naples and his students' family problems.,Lina Wertmüller,"Alessandro Bencivenni, Leonardo Benvenuti, Marcello D&apos;Orta","['Paolo Villaggio (Unknown Role)', 'Isa Danieli (Unknown Role)', 'Gigio Morra (Unknown Role)', 'Sergio Solli (Unknown Role)', 'Ester Carloni (Unknown Role)']",Tagline not available,Drama
The Little Rascals,Alfalfa is wooing Darla and his &quot;He-Man-Woman-Hating&quot; friends attempt to sabotage the relationship.,Alfalfa is wooing Darla and his &quot;He-Man-Woman-Hating&quot; friends attempt to sabotage the relationship.,Penelope Spheeris,"Penelope Spheeris, Robert Wolterstorff, Mike Scott","['Travis Tedford (Unknown Role)', 'Bug Hall (Unknown Role)', 'Brittany Ashton Holmes (Unknown Role)', 'Kevin Jamal Woods (Unknown Role)', 'Jordan Warkol (Unknown Role)']",Tagline not available,Children's|Comedy
Fausto 5.0,"Dr. Fausto encounters a man who claims to have removed his stomach eight years ago, despite adversity. He promises to make his wishes come true, causing Fausto to lose control.","Dr. Fausto encounters a man who claims to have removed his stomach eight years ago, despite adversity. He promises to make his wishes come true, causing Fausto to lose control.","Àlex Ollé, Isidro Ortiz, Carlus Padrissa","Lola Beccaria, Fernando León de Aranoa, Àlex Ollé","['Miguel Ángel Solá (Unknown Role)', 'Eduard Fernández (Unknown Role)', 'Najwa Nimri (Unknown Role)', 'Rakel González-Huedo (Unknown Role)', 'Juan Fernández (Unknown Role)']",Tagline not available,Comedy
